OBJECTIF;ID;Nom;latitude0;longitude0;latitude1;longitude1;ecart
1;50;ST LIGUAIRE - ITEP;46.337322;-0.51185;46.337322;-0.51185;0
2;50;TIFFARDIÈRE;46.330734;-0.520615;46.330734;"-0;520615";120
3;50;BOUTINETS;46.324192;-0.525364;46.324192;-0.525364;120
4;50;08-mai;46.327198;-0.51451;46.32734;-0.514805;180
5;50;SAINT LIGUAIRE;46.325745;-0.512596;46.325138;-0.512413;60
6;50;HALTE;46.3213265;-0.5136095;46.32133848;-0.513626897;120
7;50;LEVÉE DE SEVREAU;46.31927;-0.515153;46.31927;-0.515153;60
8;50;JEAN ZAY;46.31952;-0.479725;46.31952;-0.479725;60
9;50;GARENNE;46.32138;-0.51074;46.322006;-0.511184;60
10;50;MARAIS;46.31767;-0.506107;46.318085;-0.506394;60
11;50;ESPÉRANCE;46.316036;-0.501394;46.316036;-0.501394;60
12;50;VENISE VERTE;46.317497;-0.494521;46.317566;-0.494534;60
13;50;PATINOIRE;46.31884;-0.488325;46.318947;-0.48837;360
14;50;PÔLE ATLANTIQUE;46.31718;-0.48295;46.31733;-0.482964;60
15;50;ANGÉLIQUE;46.317757;-0.4801775;46.31774811;-0.480189222;60
16;50;LANGEVIN;46.315983;-0.476184;46.31647;-0.47804;60
17;50;LA ROCHELLE;46.31556;-0.473799;46.31562;-0.473902;60
18;50;LÉO LAGRANGE;46.31766;-0.470781;46.317802;-0.470907;60
19;50;MARNE;46.31899;-0.468929;46.319202;-0.468933;60
20;50;ST-JEAN;46.321228;-0.464848;46.32134;-0.464792;60
21;50;BRECHE;46.322945;-0.460006;46.322884;-0.459625;300
22;50;D'AGESCY;46.328312;-0.457976;46.328003;-0.458043;60
23;50;STRASBOURG;46.329338;-0.457956;0;0;60
24;50;BRÉMAUDIÈRE;46.33202;-0.456127;0;0;120
25;50;DENFERT-ROCHEREAU;0;0;46.32951;-0.459359;60
26;50;PONTREAU;0;0;46.333057;-0.458792;60
27;50;COUBERTIN;46.33504;-0.456929;46.33504;-0.456929;60
