OBJECTIF;ID;Nom;latitude0;longitude0;latitude1;longitude1;ecart
1;9493;BESSINES EBAUPIN;46.298916;-0.493748;46.298916;-0.493748;0
2;9444;IRIS;46.301258;-0.491391;46.301468;-0.491353;60
3;9207;BOIS CHAMAILLARD;46.30054;-0.49637;0;0;120
4;9414;MUDE;46.30523;-0.488322;46.305233;-0.48814;120
5;9219;PIED DE FOND;46.307407;-0.485415;46.30747;-0.485261;60
6;48923;PIED DE FOND 2;46.306753;-0.485459;46.306774;-0.485417;60
7;9350;POLE EMPLOI;46.304909;-0.478446;46.30485;-0.47852;60
8;9492;MACIF;46.309028;-0.479649;46.309036;-0.479507;60
9;9318;HENRI SELLIER;46.311558;-0.479669;46.311535;-0.479317;60
10;9486;SIEGFRIED;46.315037;-0.48142;46.3152;-0.4812;60
11;9369;LYCEE VENISE VERTE;46.316099;-0.484291;46.316233;-0.484612;120
12;9240;POLE ATLANTIQUE;46.31733;-0.482964;46.31718;-0.48295;420
13;9584;LANGEVIN;46.31647;-0.47804;46.315983;-0.476184;60
14;9392;LA ROCHELLE;46.31562;-0.473902;46.31556;-0.473799;60
15;9328;LEO LAGRANGE;46.317802;-0.470907;46.31766;-0.470781;60
16;9189;MARNE;46.319202;-0.468933;46.31899;-0.468929;60
17;9460;ST JEAN;46.32134;-0.464792;46.321228;-0.464848;120
18;58947;BRECHE;46.322884;-0.459625;46.322945;-0.460006;240
19;9490;D'AGESCY;46.328003;-0.458043;46.328312;-0.457976;60
20;9261;STRASBOURG;0;0;46.329338;-0.457956;60
21;9514;BREMAUDIERE;0;0;46.331297;-0.4567;60
22;9215;DENFERT-ROCHEREAU;46.32951;-0.459359;0;0;60
23;9254;PONTREAU;46.333057;-0.458792;0;0;60
24;9661;COUBERTIN;46.33504;-0.456929;0;0;60
25;9593;CURIE;46.335022;-0.453496;46.334747;-0.453634;60
26;9201;EPINETTES;46.3368;-0.449812;46.336536;-0.450296;30
27;9566;LECLERC;46.338734;-0.4461;46.338287;-0.447076;30
28;9540;CHARCOT;46.337753;-0.441903;46.33767;-0.44169;60
29;9307;CAILLARD;46.340538;-0.43918;46.34036;-0.439065;60
30;9420;JUSTICE;46.34126;-0.440504;46.34139;-0.44048;60
31;9244;BRIZEAUX CAF;46.34439;-0.439326;46.34439;-0.439326;120
