OBJECTIF;ID;Nom;latitude0;longitude0;latitude1;longitude1;ecart
1;9639;CHATEAU DRIGUET;46.365665;-0.377179;46.365665;-0.377179;0
2;9512;BOURG-NEUF;46.362576;-0.372421;46.362446;-0.372179;60
3;9675;CONCIERGERIE;46.359627;-0.365943;46.359627;-0.365943;60
4;9658;BATELIERS;46.36171;-0.362521;46.36171;-0.362521;60
5;9650;BICETRE;46.364014;-0.361598;46.364014;-0.361598;30
6;9564;DEFFENDS;46.364063;-0.363838;46.364063;-0.363838;30
7;9530;CHAURAY PARPIN;46.36193;-0.37203;46.36186714;-0.371927857;240
8;9195;SCHOFFENGRUND;46.35881;-0.376687;46.35866;-0.376782;30
9;9672;ARANDELLES;46.357086;-0.380637;46.357086;-0.380637;30
10;9216;CENTRE AQUATIQUE;46.358494;-0.383951;46.358494;-0.383951;60
11;9559;FRAIGNES;46.35777;-0.387989;46.357952;-0.387559;30
12;9642;TILLEUL;46.35474;-0.38797;46.35478;-0.38784;30
13;9543;GRAND PUITS;46.3527;-0.386794;46.352753;-0.386479;60
14;9498;COMBES;46.34585;-0.398076;46.34599;-0.39707;120
15;9634;CHABAN;46.344685;-0.402398;46.34458;-0.402274;60
16;51688;MAAF;46.34091853;-0.407307663;46.34079;-0.40683;60
17;22391;VERTEUIL;46.346115;-0.403572;46.346115;-0.403572;120
18;22296;CHATEAU MUSSET;46.341644;-0.416149;46.341644;-0.416149;180
19;9631;JOUSSELIN;46.33679;-0.424446;46.336807;-0.424045;120
20;9537;MAISONS ROUGES;46.335514;-0.425744;46.33546;-0.425156;60
21;9262;AMOURETTES;46.332474;-0.421929;46.33311;-0.42226;60
22;9346;VIGNEAU;46.3311;-0.4202;46.331135;-0.42045;60
23;9534;NARDOUZANS;46.328915;-0.417086;46.328594;-0.417286;120
24;9270;BUZARDERIE;46.327908;-0.418556;46.327503;-0.418752;60
25;9321;SOUCHE;46.32649;-0.423619;46.326504;-0.424197;60
26;9212;SABLEAU;46.324577;-0.425027;0;0;30
27;9253;FLEURELLE;46.325287;-0.428686;46.32546;-0.429216;30
28;9266;BREGUET;46.32604;-0.433806;46.325684;-0.432753;60
29;9374;ANDRE MAUROIS;46.326576;-0.438456;46.32674;-0.438421;120
30;9667;ANDRE GIDE;46.328663;-0.438423;46.328537;-0.438126;60
31;9545;MERIMEE;46.329713;-0.441817;46.329456;-0.443132;60
32;9620;BELLUNE;46.327538;-0.448456;46.327488;-0.44831;60
33;9553;VOLTAIRE;46.325294;-0.454371;46.3251;-0.454255;120
34;58946;BRECHE;46.322884;-0.459625;46.322945;-0.460006;180
35;9456;ST-JEAN;46.321317;-0.464744;46.321275;-0.464883;60
36;9204;ESPINGOLE;46.322815;-0.467199;46.32263;-0.467246;60
37;9246;BOINOT;46.325493;-0.468279;46.32527;-0.468343;60
38;9438;ST ETIENNE;46.327683;-0.469216;46.327962;-0.46933;60
39;9217;GENEVE;46.329224;-0.469746;46.329189;-0.469808;60
40;9336;VILLON;46.334126;-0.471805;46.33386;-0.471804;120
41;9451;BOURGEOIS;46.33678;-0.473031;46.336655;-0.473048;60
42;9509;LYCEE HORTICOLE;46.34039;-0.474188;46.339428;-0.473981;60
43;51676;LYCEE THOMAS JEAN MAIN;46.342033;-0.477074;46.341984;-0.476991;120
44;9393;BUISSONS;46.342358;-0.480566;46.342354;-0.480969;60
45;9256;BOILEAU;46.343382;-0.483704;46.34328;-0.483694;60
46;9656;TELOUZE;46.346886;-0.483112;46.34698;-0.4831;60
47;9478;LOUIS MERLE;46.34838;-0.481772;46.348328;-0.481874;60
48;9489;CLOS ROYAL;46.350372;-0.479574;46.350437;-0.479954;120
49;9469;VERTE VALLEE;46.350456;-0.477111;46.350357;-0.477842;60
50;9671;CHAINTRE BRULEE;46.351646;-0.472827;46.351646;-0.472827;60
